,作者,出版社,出版年,页数,定价,装帧,ISBN,简介,书名,图片,译者,丛书,副标题,原作名,出品方
1,Robert G. Gallager,Cambridge University Press,2008-3-24,422,USD 99.99,Hardcover,9780521879071,"The renowned communications theorist Robert Gallager brings his lucid writing style to the study of the fundamental system aspects of digital communication for a one-semester course for graduate students. With the clarity and insight that have characterized his teaching and earlier textbooks, he develops a simple framework and then combines this with careful proofs to help the reader understand modern systems and simplified models in an intuitive yet precise way. A strong narrative and links between theory and practice reinforce this concise, practical presentation. The book begins with data compression for arbitrary sources. Gallager then describes how to modulate the resulting binary data for transmission over wires, cables, optical fibers, and wireless channels. Analysis and intuitive interpretations are developed for channel noise models, followed by coverage of the principles of detection, coding, and decoding. The various concepts covered are brought together in a description of wireless communication, using CDMA as a case study.

投诉",Principles of Digital Communication,https://img9.doubanio.com/view/subject/s/public/s4307126.jpg,,,,,
2,周圣君,人民邮电出版社,2021-7,220,69.8,平装,9787115558022,"本书用图文搭配的方式搭建了关于5G的知识框架，提供了有趣、实用、丰富、浅显易懂的内容。本书共11章，从5G的演进背景开始，介绍什么是5G，为什么要有5G，接着阐释5G有什么特点，5G的核心技术和研发进展如何，5G有哪些应用方向，5G的网络架构是怎样的，然后呈现5G的产业链，并进一步分析5G在发展过程中可能面临的瓶颈问题，以及未来的前景。

本书适合通信行业的专业技术人员、高等院校通信或电子信息专业的学生，以及想了解5G知识的初学者阅读。",鲜枣课堂：5G通识讲义,https://img9.doubanio.com/view/subject/s/public/s34025755.jpg,,,,,
3,(美)David Tse;Pramod Viswanath,人民邮电出版社,2007-7,426,59.00元,,9787115161543,"《无线通信基础》由无线通信领域新一代权威Tse根据教学实际编写而成，已被加州大学伯克利分校、麻省理工学院等众多名校和高通等世界知名公司作为教材。《无线通信基础》重点介绍无线通信的基本原理，读者只需具有概率论和数字通信基本背景。《无线通信基础》所涉及的主要问题有MIMO通信、空时编码、机会通信、OFDM和CDMA等，这些概念均利用无线系统的大量实例予以说明。《无线通信基础》着重强调概念及其在系统中的实现之间的相互影响。书中还配有大量的习题和图表，可以帮助读者进一步理解材料内容。

《无线通信基础》适合作为通信工程和电子信息类相关专业高年级本科生和研究生的教材，同时也可供工程技术人员参考。",无线通信基础,https://img9.doubanio.com/view/subject/s/public/s5829334.jpg,李锵,图灵电子与电气工程丛书,,,
4,王映民 孙韶辉,人民邮电出版社,2020-11,653,199元,平装,9787115530387,"本书全面系统地介绍了5G移动通信系统设计与标准协议。第一部分（第1-3章）系统概述与标准体系，主要介绍移动通信及5G发展的总体情况、5G系统的网络架构与标准体系、接入网的架构与接口；第二部分（第4-11章）物理层协议设计，涵盖帧结构与物理信道、物理层过程与控制信道、大规模多天线、信道编码、NR与LTE共存、功率控制等；第三部分（第12-13章）空口高层协议设计，包括高层协议基本过程、用户平面协议和控制平面协议；第四部分（第14-17章）接入网接口设计，对NG协议接口、Xn协议接口、F1协议接口和E1协议接口作了具体介绍；第五部分（第18-21章）系统射频指标与协议规范，涵盖基站射频指标、终端射频指标和无线资源管理指标。

作者团队亲身参与了LTE与5G国际标准化的过程，本书基于他们对技术和标准化的独到而深入的认识及理解编撰而成。",5G移动通信系统设计与标准详解,https://img9.doubanio.com/view/subject/s/public/s33750285.jpg,,,,,
5,"[美] Thomas M.Cover,Joy A.Thomas",机械工业出版社,2005-5,435,56.00元,简裝本,9787111162452,信息论基础，ISBN：9787111162452，作者：（美）Thomas M.Cover，（美）Joy A.Thomas著；阮吉寿，张华译,信息论基础,https://img9.doubanio.com/view/subject/s/public/s8488134.jpg,,,,,
6,Constantine A. Balanis,Wiley-Interscience,2005-04-04,1136,USD 157.00,Hardcover,9780471667827,"The discipline of antenna theory has experienced vast technological changes. In response, Constantine Balanis has updated his classic text, Antenna Theory, offering the most recent look at all the necessary topics. New material includes smart antennas and fractal antennas, along with the latest applications in wireless communications. Multimedia material on an accompanying CD presents PowerPoint viewgraphs of lecture notes, interactive review questions, Java animations and applets, and MATLAB features. Like the previous editions, Antenna Theory, Third Edition meets the needs of electrical engineering and physics students at the senior undergraduate and beginning graduate levels, and those of practicing engineers as well. It is a benchmark text for mastering the latest theory in the subject, and for better understanding the technological applications. An Instructor's Manual presenting detailed solutions to all the problems in the book is available from the Wiley editorial department.

投诉",Antenna Theory,https://img9.doubanio.com/view/subject/s/public/s4335884.jpg,,,"Analysis and Design, 3rd Edition",,
7,David Tse / Pramod Viswanath,Cambridge University Press,2005-7-11,586,USD 92.00,Hardcover,9780521845274,"The past decade has seen many advances in physical layer wireless communication theory and their implementation in wireless systems. This textbook takes a unified view of the fundamentals of wireless communication and explains the web of concepts underpinning these advances at a level accessible to an audience with a basic background in probability and digital communication. Topics covered include MIMO (multi-input, multi-output) communication, space-time coding, opportunistic communication, OFDM and CDMA. The concepts are illustrated using many examples from real wireless systems such as GSM, IS-95 (CDMA), IS-856 (1 x EV-DO), Flash OFDM and UWB (ultra-wideband). Particular emphasis is placed on the interplay between concepts and their implementation in real systems. An abundant supply of exercises and figures reinforce the material in the text. This book is intended for use on graduate courses in electrical and computer engineering and will also be of great interest to practising engineers.

投诉",Fundamentals of Wireless Communication,https://img3.doubanio.com/view/subject/s/public/s7042470.jpg,,,,,
8,袁国良,清华大学出版社,2004-7,223,23.00元,简裝本,9787302087908,"本书主要介绍了光纤通信的发展；光纤通信的物理学基础；光纤的组成及原理；光源、光电检测器的结构和工作原理；光缆和光纤通信器件；光发射机、光接收机以及光纤通信系统的构成、性能和设计；光波分复用技术、相干光通信以及光孤子通信等。

本书力求从基础知识出发，循序渐进，深入浅出，以便读者对本书任何内容的阅读都不会有太大的跳跃性。本书可以作为高等学校本科生和研究生的教材，也可以作为从事光纤通信的科研人员、工程技术人员和其他相关人员的参考书。",光纤通信原理,https://img9.doubanio.com/view/subject/s/public/s8973625.jpg,,,,,
9,"Eloranta, Eero",John Wiley & Sons Inc,,384,,,9781118694152,,Designing Distributed Control Systems A Pattern Language Approach,https://img9.doubanio.com/view/subject/s/public/s29396984.jpg,,,,,
10,陈爱军,清华大学出版社,2017-12-22,351,CNY 89.00,平装,9787302483861,,深入浅出通信原理,https://img2.doubanio.com/view/subject/s/public/s33920593.jpg,,,,,
11,拉贝艾,电子工业出版社,2004-10,553,58.00元,简裝本,9787121003837,《国外电子与通信教材系列·数字集成电路:电路、系统与设计(第2版)》由美国加州大学伯克利分校JanM.Rabaey教授撰写。全书共12章，分为三个部分：基本单元、电路设计和系统设计。《数字集成电路——电路、系统与设计》在对MOS器件和连线的特性做了简要介绍之后，深入分析了数字设计的核心——反相器，并逐步将这些知识延伸到组合逻辑电路、时序逻辑电路、控制器、运算电路以及存储器这些复杂数字电路与系统的设计中。为了反映数字集成电路设计进入深亚微米领域后正在发生的深刻变化，第二版增加了许多新的内容，并以0.25微米CMOS工艺的实际电路为例，讨论了深亚微米器件效应、电路最优化、互连线建模和优化、信号完整性、时序分析、时钟分配、高性能和低功耗设计、设计验证、芯片测试和可测性设计等主题，着重探讨了深亚微米数字集成电路设计面临的挑战和启示。,数字集成电路,https://img2.doubanio.com/view/subject/s/public/s10443373.jpg,周润德,国外电子与通信教材系列,电路、系统与设计,,
